"instru","sub_instru"
Afghani guitar,Afghani guitar
Alghoza,Alghoza
Alphorn,Alphorn
Accordion,Accordion
Bagpipes,Bagpipes
Banjo,"Banjo cello,Bass banjo,Five-stringed banjo,Four-stringed banjo,Six-stringed banjo,Tenor banjo,Zither banjo,Banjo"
Bassoon,"Contrabassoon/double bassoon,Tenoroon,Bassoon"
Berimbau,Berimbau
Bongo,Bongo
Chimta,Chimta
Calliope,Calliope
Cello,Cello
Clarinet,"Alto clarinet,Bass clarinet,Basset clarinet,Basset horn,Clarinette d'amour,Contra-alto clarinet,Contrabass clarinet,Piccolo clarinet,Sopranino clarinet,Soprano clarinet,Octocontra-alto clarinet,Octocontrabass clarinet,Clarinet"
Clavichord,Clavichord
Cor anglais,Cor anglais
Cornet,Cornet
Cymbal,Cymbal
Dhime,Dhime
Didgeridoo,Didgeridoo
Dizi,Dizi
Double bass,Double bass
Drum kit,Drum kit
Esraj,Esraj
Ektara,Ektara
Erhu,Erhu
Euphonium,Euphonium
Fiddle,Fiddle
Flute,"Alto flute,Bass flute,Contra-alto flute,Contrabass flute,Subcontrabass flute,Double contrabass flute,Hyperbass flute,Flute"
French horn,French horn
Ghatam,Ghatam
Box drum,Box drum
Glass harmonica,Glass harmonica
Glockenspiel,Glockenspiel
Gong,Gong
Guitar,"Acoustic guitar,Baritone guitar,Bass guitar,Chitarra battente,Cigar box guitar,Classical guitar,Electric guitar,Electric bass guitar,Extended-range guitars,Flamenco guitar,Fusetar,Guitarra quinta huapanguera,Guitar synthesizer,Guitarrón (argentino),Guitarrón (chileno),Guitarrón (mexicano),Guitarrón (uruguayo),Gut-stringed guitars,Lap steel guitars,Multi-necked                    guitars,Nine-string guitar,Nylon-string guitars,Octave guitar,Pedal steel guitar,Resophonic guitar,Steel-string acoustic guitar,Tenor guitar,Terz guitar,Twelve-string                    guitar,Yotar,Guitar"
Guqin,Guqin
Guzheng,Guzheng
Hang,Hang
Harmonica,"Chromatic harmonica,Diatonic harmonica,Tremolo harmonica,Orchestral harmonica,ChenGong harmonica,Harmonica"
Harmonium,Harmonium
Harp,Harp
Harpsichord,Harpsichord
Hammered dulcimer,Hammered dulcimer
Hulusi,Hulusi
Hurdy gurdy,Hurdy gurdy
Indian Banjo,Indian Banjo
Jew’s harp,Jew’s harp
Kalimba,Kalimba
Lute,Lute
Lyre,Lyre
Mandolin,"Mando-bass,Mandocello,Mandola,Octave mandolin,Mandolin"
Marimba,Marimba
Melodica,Melodica
Nyckelharpa,Nyckelharpa
Oboe,"Bass/Baritone oboe,Contrabass oboe,Cor anglais/English horn,Oboe d'amore,Oboe da caccia,Piccolo oboe/Oboe musette,Oboe"
Ocarina,"Transverse ocarina,Pendant ocarina,Inline ocarina,Multi chambered ocarina,Keyed ocarina,Slide ocarina,Ocarina"
Octobass,Octobass
Organ,Organ
Otamatone,Otamatone
Oud,Oud
Pan Pipes,Pan Pipes
Panduri,Panduri
Pennywhistle,Pennywhistle
Piano,Piano
Pianola,Pianola
Piccolo,Piccolo
Pipa,Pipa
Pungi,Pungi
Recorder,"Garklein,Sopranino,Descant,Treble or alto,Tenor,Bass,Great bass,Contra bass,Subcontra bass,Sub-subcontrabass,Venova,Recorder"
Sarangi,Sarangi
Sarinda,Sarinda
Suroz,Suroz
Sursinger,Sursinger
Santoor,Santoor
Sarod,Sarod
Saxophone,"Alto saxophone,Baritone saxophone,Bass saxophone,C melody saxophone,C Soprano saxophone,Contrabass saxophone,Mezzo-soprano saxophone (Alto in F),Sopranino saxophone,Soprano saxophone,Soprillo,Subcontrabass saxophone,Tenor saxophone,Tubax,Venova,Xaphoon,Saxophone"
Shehnai,Shehnai
Sheng,Sheng
Sitar,Sitar
Steelpan,Steelpan
Stylophone,Stylophone
Suona,Suona
Synthesizer,Synthesizer
Tabla,Tabla
Tambourine,Tambourine
Timpani,Timpani
Florguitar,Florguitar
Triangle,Triangle
Trombone,"Sopranino trombone,Soprano trombone,Alto trombone,Tenor trombone,Bass trombone,Contrabass trombone,Valve trombone,Renaissance trombone,Trombone"
Trumpet,"Soprano trumpet,Bass trumpet,Baroque trumpet,Rotary valve trumpet,Trumpet"
lighting,"lighting"
lighting director,"lighting"
film,"film"
administrator,"administrator"
interviewee,"interviewee"
interviewer,"interviewer"
manager,"manager"
public relations,"promotion"
promotion,"public relations"